Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,DebtToIncome,FreeCash,PlannedInterestTillDate,Status,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan
37,1,0,2125,2125,35,60,81,0,4,3,0,3,5,12,2,496,0,0,0,0,0,0,496,9,1392,45,19,1394,0,0,0,0,0,0
32,1,0,500,500,16,60,13,2,3,2,1,3,1,9,3,412,0,64,0,0,0,0,476,4,512,14,155,207,0,1,500,183,0,0
25,0,0,9565,9565,22,60,285,0,5,3,0,3,5,4,2,850,0,0,0,0,0,0,850,5,896,69,4,9473,0,0,0,0,0,0
23,1,0,1595,1595,34,60,59,6,4,3,0,3,1,16,2,430,0,0,0,0,0,0,430,6,424,36,24,1595,0,0,0,0,0,0
50,1,0,1400,1400,14,36,53,2,4,1,0,3,6,16,1,610,0,0,0,0,0,0,610,4,460,29,182,347,0,1,3000,3232,1400,1
58,1,2,3190,3190,32,60,115,2,4,4,0,3,6,17,4,1500,0,0,0,0,0,0,1500,6,1430,53,4,2574,1,0,0,0,0,0
42,0,0,2655,2655,23,60,81,2,4,2,1,3,3,3,1,850,0,0,0,0,0,0,850,5,618,35,150,2418,1,3,6400,2295,0,0
42,0,1,1000,1000,73,60,66,0,2,1,2,4,6,11,4,1022,0,0,0,0,0,0,1022,2,640,34,315,1000,1,0,0,0,1500,1
54,1,0,2655,2655,51,60,129,0,4,3,0,3,2,19,4,482,158,0,0,0,0,0,640,8,777,60,1,2655,0,0,0,0,0,0
30,0,0,530,530,18,60,14,5,4,3,0,3,3,4,1,1200,0,0,0,0,0,0,1200,2,460,9,725,323,0,2,1000,1043,0,0
31,1,0,4000,4000,16,60,111,7,4,2,1,3,2,3,8,850,0,45,0,0,0,0,895,9,1000,37,162,3823,0,2,1500,1166,2500,1
26,0,2,10000,3590,21,60,305,7,3,2,1,3,5,6,4,1648,0,0,0,0,0,0,1648,2,800,36,542,14,0,0,0,0,8000,3
37,0,0,1000,1000,33,36,47,8,2,3,0,3,3,1,2,799,0,0,0,0,0,0,799,1,250,5,501,599,0,0,0,0,600,1
34,0,0,2400,2400,17,60,68,6,5,1,2,3,6,1,3,1750,0,0,0,0,0,0,1750,5,1064,34,616,721,0,3,9400,3151,2400,1
30,1,0,900,900,25,60,29,7,2,3,0,3,6,9,3,1310,0,0,0,0,0,0,1310,1,393,2,887,900,0,0,0,0,900,1
64,0,1,3720,3720,31,48,144,3,4,3,0,4,6,7,1,1500,0,0,0,0,0,0,1500,4,2390,62,105,331,0,2,4500,4947,1500,1
44,0,2,2655,2655,34,60,99,6,4,1,1,3,5,8,6,2127,0,0,0,0,0,0,2127,15,2723,49,140,670,0,0,0,0,0,0
44,0,0,6910,6910,15,60,181,7,4,1,1,3,1,6,8,1300,0,0,0,0,0,0,1300,7,1085,39,281,6518,0,1,4200,1373,0,0
54,0,2,7970,2605,18,60,220,2,2,1,0,6,6,1,1,0,1100,0,0,0,0,0,1100,9,1028,50,39,132,0,3,5160,2758,0,0
56,0,1,1060,1060,31,60,37,7,2,1,0,6,6,6,1,0,758,0,0,0,0,0,758,2,435,16,285,1060,1,1,2000,277,700,1
34,0,1,4785,2430,31,60,168,7,5,1,2,6,6,1,9,0,1236,0,0,0,0,0,1236,2,945,60,122,340,0,0,0,0,0,0
31,0,1,5900,5900,31,18,434,2,5,3,0,3,4,10,3,2062,0,0,0,0,0,0,2062,1,618,21,1009,1649,1,1,2900,2925,4540,1
47,1,0,2500,2500,28,60,86,3,4,1,1,5,6,12,1,430,0,45,0,0,0,0,475,4,580,45,7,58,0,0,0,0,2500,1
26,0,0,5315,5315,46,60,240,6,2,3,0,3,5,3,3,1400,0,0,0,0,0,0,1400,7,1430,60,139,4812,0,1,3000,3816,0,0
49,1,0,1060,1060,19,60,30,7,4,3,0,3,6,3,4,800,0,0,0,0,0,0,800,10,1385,67,13,940,0,3,6000,2175,3000,1
40,0,1,4785,1175,71,60,304,0,2,3,0,6,5,1,2,0,1200,0,0,0,0,0,1200,2,660,50,235,1175,1,0,0,0,0,0
55,1,2,10630,3250,28,60,355,0,3,1,0,3,6,15,1,2212,0,0,0,0,0,0,2212,10,2002,47,4,3250,1,0,0,0,0,0
30,0,1,500,500,40,60,21,8,4,3,0,3,6,10,2,1250,0,0,0,0,0,0,1250,1,375,1,853,500,1,0,0,0,500,1
38,1,0,1060,1060,19,60,30,7,2,1,2,3,2,10,1,511,0,76,0,0,0,0,587,2,381,27,175,13,1,2,7200,4297,0,0
41,0,1,1000,1000,31,48,40,7,2,1,0,3,2,8,4,1200,0,0,0,0,0,0,1200,1,360,3,800,1000,1,0,0,0,1500,1
44,0,2,1060,1060,31,60,37,5,3,2,0,6,6,1,9,1000,1100,0,0,0,0,0,2100,1,630,1,1432,1060,1,0,0,0,0,0
37,1,1,1500,1500,31,60,54,7,1,1,0,3,6,1,8,1200,0,0,0,0,0,0,1200,3,928,11,216,1500,0,1,3000,323,4790,2
34,1,1,3185,1005,62,60,182,7,4,3,0,4,1,9,2,1500,0,0,0,0,0,300,1800,9,1629,60,176,1005,1,0,0,0,0,0
55,1,0,1700,1700,23,60,51,7,4,4,0,3,6,7,1,700,0,0,0,0,0,0,700,7,687,37,35,1700,0,2,3700,575,0,0
22,0,0,500,500,44,24,33,7,2,2,1,3,1,6,3,668,0,0,0,0,0,0,668,1,250,4,384,45,0,0,0,0,600,2
69,0,2,2125,2125,18,60,59,2,5,1,0,6,6,15,8,0,2900,0,0,0,0,0,2900,17,2982,62,36,2125,0,1,2500,225,0,0
26,0,0,635,635,29,60,21,1,5,3,0,3,1,7,2,500,241,0,44,0,0,0,785,3,898,8,465,3,0,2,1000,1094,0,0
50,1,0,5500,5500,17,60,155,7,4,1,1,3,1,1,1,1500,0,95,0,0,0,0,1595,2,575,15,863,5500,0,1,1000,1073,5500,1
24,0,1,500,500,73,60,33,7,3,3,0,2,1,9,2,850,0,0,0,0,0,0,850,5,835,56,21,500,1,1,1500,1639,0,0
26,1,1,2125,2125,41,60,89,4,5,3,0,3,1,7,2,621,0,0,0,0,0,0,621,6,752,31,72,2125,1,0,0,0,0,0
52,1,1,1595,1295,71,60,101,2,4,4,1,3,6,4,8,1184,0,0,0,0,0,0,1184,2,1055,8,27,1295,0,0,0,0,0,0
69,1,1,2800,2800,17,60,79,7,2,5,3,6,6,1,1,0,634,0,0,0,0,0,634,1,350,12,204,2800,1,0,0,0,2800,1
24,1,0,10630,10630,29,60,364,0,5,3,0,3,1,15,2,619,0,0,0,0,0,0,619,3,316,58,4,5440,0,0,0,0,0,0
39,0,1,3190,970,57,60,168,7,3,3,0,3,3,17,2,900,0,0,0,0,0,0,900,2,780,18,381,970,0,0,0,0,0,0
32,0,0,1060,1060,16,60,28,6,3,1,1,3,3,15,7,1091,0,0,0,0,0,0,1091,11,1131,49,76,1013,0,0,0,0,9000,1
69,1,0,3000,3000,24,60,97,1,5,1,0,6,6,1,1,0,385,0,0,0,0,0,385,1,250,25,37,1223,0,0,0,0,3000,1
39,0,0,2125,2125,39,60,85,2,2,1,1,3,6,7,7,415,158,0,0,0,0,0,573,5,711,52,19,2107,0,1,5500,4320,0,0
51,0,2,5315,1300,20,60,152,8,5,2,0,3,6,15,7,2250,0,0,0,0,0,0,2250,5,1721,33,375,1300,0,1,1705,162,10000,1
46,1,0,500,500,17,60,14,7,4,3,1,3,6,3,1,450,0,0,0,0,0,0,450,4,420,41,15,500,0,1,1000,890,500,1
70,1,2,5740,5740,25,60,183,0,4,1,0,6,6,1,1,0,1252,0,0,0,0,0,1252,5,903,35,305,89,0,0,0,0,0,0
51,0,0,5315,5315,24,60,166,2,4,2,3,3,4,5,1,775,0,0,0,0,0,0,775,9,1254,40,213,167,1,1,2500,1249,0,0
39,0,2,3000,3000,32,60,112,0,3,3,0,3,2,6,9,2300,0,0,0,0,0,0,2300,5,1356,18,831,1975,1,0,0,0,3000,1
48,1,0,2125,2125,29,60,72,2,4,1,0,3,1,19,4,330,0,0,0,0,0,0,330,1,250,21,7,2125,0,0,0,0,0,0
21,0,0,5000,5000,32,36,236,2,3,2,0,3,1,6,1,598,0,0,0,0,0,0,598,1,250,39,111,5000,0,0,0,0,5000,1
30,1,0,500,500,20,18,34,6,4,3,0,3,6,1,3,700,0,0,0,0,0,0,700,10,730,57,47,92,0,1,500,97,500,1
40,0,2,2500,2500,20,12,240,7,3,3,1,3,6,1,4,2949,0,0,0,0,0,0,2949,5,1785,38,922,312,0,1,2000,1598,2500,1
44,1,2,8505,8505,24,60,265,7,4,4,0,3,6,17,1,1760,0,0,0,0,0,0,1760,15,1896,65,75,623,0,1,2500,518,0,0
56,0,0,1595,1595,17,60,43,7,2,1,0,3,2,6,1,490,0,0,0,0,0,0,490,5,596,30,91,1318,1,0,0,0,0,0
26,1,0,500,500,48,60,24,0,2,3,1,3,2,9,4,496,0,64,0,0,0,0,560,5,714,37,101,451,1,0,0,0,1000,1
24,1,2,1000,1000,22,48,35,6,4,3,0,3,1,12,4,2100,0,0,0,0,0,0,2100,2,675,3,1389,1000,0,0,0,0,0,0
53,1,0,1060,1060,24,60,32,0,4,4,0,3,5,9,3,430,0,0,0,0,0,0,430,6,466,40,7,699,0,0,0,0,0,0
23,0,0,2000,2000,48,60,96,5,2,3,0,3,3,8,1,640,0,0,0,0,0,0,640,8,1337,41,126,2000,0,2,1300,247,4000,2
47,1,2,10630,8790,23,60,328,0,4,1,0,3,6,17,5,1900,0,0,0,0,0,0,1900,4,860,27,811,8790,1,0,0,0,2245,1
37,0,1,700,700,24,60,22,7,3,3,2,3,5,9,3,1000,0,0,0,0,200,0,1200,2,383,3,793,603,1,1,500,74,1000,2
46,1,0,6000,6000,20,60,179,8,4,1,2,3,6,18,7,1022,0,90,0,0,0,0,1112,2,633,43,298,4703,0,1,7100,7192,6000,1
52,0,0,10000,10000,17,60,285,3,5,3,0,5,6,7,1,2096,0,0,0,0,0,366,2462,4,1619,13,557,3854,0,0,0,0,0,0
33,1,2,1500,1500,18,60,43,1,5,3,0,3,5,9,3,3290,0,0,0,0,0,0,3290,3,1287,10,1958,1500,1,1,2000,1196,1500,1
46,0,1,1000,1000,18,60,29,7,3,1,3,4,6,6,8,1300,0,0,0,0,0,0,1300,3,853,10,417,1000,0,0,0,0,4155,1
64,1,0,500,500,20,60,15,2,4,5,0,6,6,11,5,0,285,0,27,0,0,0,312,1,250,4,46,500,0,0,0,0,500,1
58,0,2,3000,3000,34,60,115,7,4,2,1,6,6,17,7,0,1005,0,201,0,0,0,1206,6,597,17,493,3000,1,0,0,0,2510,1
50,1,2,2125,2125,37,60,83,7,4,4,1,6,6,1,4,0,767,144,177,0,154,0,1242,9,1491,50,109,1674,0,0,0,0,0,0
38,1,0,500,500,29,36,22,2,4,2,1,3,2,9,1,600,0,134,0,0,0,0,734,5,448,26,288,147,0,0,0,0,500,2
36,0,0,10630,6160,26,60,345,2,4,1,0,3,6,1,1,1196,0,0,0,0,0,0,1196,5,980,56,166,1705,0,0,0,0,0,0
46,0,1,7440,7060,33,60,274,7,5,1,0,3,6,1,8,2049,0,0,0,0,0,0,2049,11,2199,44,6,7060,1,0,0,0,0,0
21,0,0,2500,2500,46,60,115,0,4,3,0,3,2,1,3,600,0,0,0,0,0,0,600,2,388,42,95,2311,0,0,0,0,2500,1
32,0,0,500,500,27,60,16,3,4,2,2,5,3,6,7,2300,0,0,0,0,0,0,2300,3,1103,18,1179,43,0,2,9875,1881,0,0
62,1,0,3190,3190,18,60,88,2,4,3,0,3,6,9,6,0,345,0,0,0,0,0,345,1,250,25,6,2641,0,1,2000,2647,0,0
51,0,1,4785,1320,68,60,291,7,4,4,2,3,6,1,4,1242,0,0,0,0,0,0,1242,1,372,23,578,1320,1,0,0,0,0,0
28,0,0,4000,4000,22,60,124,0,3,2,0,3,2,3,1,1500,0,0,0,0,0,0,1500,6,919,32,568,2259,0,6,4044,5305,5000,2
