Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,DebtToIncome,FreeCash,PlannedInterestTillDate,Status,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan
27,1,0,600,600,28,36,0,7,4,2,1,3,4,7,1,410,0,53,0,0,0,0,463,7,431,23,257,248,0,0,0,0,0,0
34,0,0,4500,4500,30,48,0,7,1,4,3,3,1,9,3,1700,0,0,0,0,0,0,1700,10,1038,9,753,3329,0,1,2500,296,0,0
29,0,0,7750,7750,28,48,0,0,4,1,2,3,6,3,2,775,0,0,0,0,0,0,775,13,709,53,288,5221,0,0,0,0,0,0
30,0,0,6000,6000,28,60,0,6,2,2,0,3,3,7,2,967,0,0,0,0,0,0,967,4,437,31,463,5202,0,0,0,0,0,0
38,1,0,500,500,28,12,0,0,3,1,3,3,6,17,7,414,0,38,0,0,0,0,452,6,107,16,297,180,0,0,0,0,0,0
48,1,0,3000,3000,30,48,0,7,3,5,0,3,2,1,2,74,241,0,53,0,0,0,368,11,506,29,229,2204,0,0,0,0,0,0
38,1,0,2000,2000,28,24,0,0,4,1,4,3,1,9,1,409,0,210,0,0,0,0,619,8,289,25,271,673,0,0,0,0,0,0
47,1,2,10000,10000,26,60,0,0,3,4,0,3,2,17,3,1703,0,0,0,0,0,500,2203,11,2321,23,578,9381,1,0,0,0,0,0
49,1,0,800,800,28,18,0,5,4,1,0,3,1,1,1,332,241,0,38,0,0,0,611,6,233,10,323,191,0,0,0,0,0,0
45,1,2,1500,1500,17,24,0,7,3,2,2,2,1,7,7,1362,0,219,0,0,180,0,1761,10,388,17,1299,291,0,0,0,0,0,0
45,1,2,6000,6000,30,48,0,0,2,1,1,3,6,14,3,1700,0,104,0,0,0,0,1804,15,1841,56,254,3504,1,0,0,0,0,0
24,0,0,2000,2000,28,36,0,7,2,3,0,3,1,19,3,634,0,0,0,0,0,0,634,2,220,13,331,684,0,0,0,0,0,0
55,0,0,4000,4000,20,36,0,3,4,1,0,5,6,8,9,640,0,0,0,0,0,400,1040,6,599,19,292,1330,0,0,0,0,0,0
22,0,2,5000,5000,22,48,0,0,1,2,0,3,1,9,4,1885,0,0,0,0,0,0,1885,11,1287,19,1085,2609,0,0,0,0,0,0
54,1,2,5000,5000,30,60,0,0,4,3,0,6,6,1,3,0,1194,0,143,0,0,0,1337,16,1573,35,315,4541,1,0,0,0,0,0
25,0,0,1300,1300,28,36,0,0,2,2,1,3,4,3,2,620,0,0,0,0,0,0,620,5,171,11,395,644,0,0,0,0,0,0
21,0,0,700,700,28,6,0,0,2,3,0,3,3,3,3,911,0,0,0,0,0,0,911,6,331,35,462,63,0,0,0,0,0,0
60,1,0,2000,2000,28,24,0,0,4,5,0,3,6,8,1,600,0,0,0,0,0,0,600,13,418,32,365,646,0,0,0,0,0,0
26,1,0,1200,1200,30,48,0,0,2,2,2,3,1,1,2,423,0,57,0,0,0,0,480,8,244,14,205,877,0,0,0,0,0,0
27,0,0,3200,3200,28,36,0,0,4,2,0,0,1,7,2,693,0,0,0,0,0,0,693,4,205,19,356,1003,0,0,0,0,0,0
32,1,0,5000,5000,25,60,0,3,5,1,3,5,2,5,7,1500,0,0,0,0,0,0,1500,3,280,9,1073,4633,0,4,639,719,0,0
47,0,1,4500,4500,35,24,0,0,3,1,0,4,6,6,8,1250,0,0,0,0,0,0,1250,9,3518,57,288,1854,1,0,0,0,0,0
44,1,0,1000,1000,28,24,0,2,5,4,1,3,4,15,6,644,140,19,0,0,0,0,803,5,283,32,465,322,0,1,4200,0,0,0
24,0,0,3000,3000,30,18,0,0,4,3,0,3,3,1,3,1367,0,0,0,0,0,0,1367,6,764,23,850,816,0,0,0,0,0,0
28,0,0,6500,6500,18,48,0,6,5,2,0,3,3,1,8,1262,0,0,0,0,0,0,1262,8,1092,31,332,3319,0,1,1000,720,0,0
32,1,0,3500,3500,19,18,0,2,5,2,2,3,6,17,1,700,0,38,0,0,0,0,738,7,231,45,282,562,0,0,0,0,0,0
27,0,0,1400,1400,12,36,0,7,4,2,1,3,6,8,8,963,0,0,0,0,0,60,1023,10,533,20,462,279,0,0,0,0,0,0
36,0,0,4600,4600,27,60,0,6,4,1,3,3,1,7,8,910,0,0,0,0,0,0,910,7,425,33,345,4277,0,1,4600,495,0,0
30,1,0,8600,8600,22,60,0,2,5,2,2,3,6,8,2,868,0,0,0,0,0,0,868,3,196,50,434,8010,1,0,0,0,0,0
58,1,0,3000,3000,28,36,0,2,4,4,0,3,6,19,1,443,216,0,19,0,0,0,678,6,233,27,321,647,0,0,0,0,0,0
39,0,0,7400,7400,28,36,0,0,4,2,3,3,5,8,3,1166,0,0,0,0,0,0,1166,11,907,38,363,3659,0,0,0,0,0,0
33,0,0,5000,5000,28,24,0,2,4,2,2,3,6,6,8,1900,0,0,0,0,0,0,1900,5,563,14,1063,1632,0,0,0,0,0,0
34,0,0,4500,4500,28,60,0,0,3,2,0,3,5,3,2,781,0,0,0,0,0,0,781,7,354,21,522,4500,1,0,0,0,0,0
33,1,0,4200,4200,28,60,0,0,4,3,1,3,6,3,1,500,0,19,0,0,0,0,519,11,868,27,280,4028,0,0,0,0,0,0
36,0,0,7000,7000,28,60,0,6,4,1,4,3,1,6,8,2500,0,0,0,0,0,0,2500,6,675,11,1607,7000,0,0,0,0,0,0
46,1,0,4200,4200,20,48,0,0,4,1,1,3,6,3,1,706,0,19,0,0,0,0,725,7,637,19,276,1628,0,0,0,0,0,0
36,0,0,10000,10000,30,48,0,2,4,1,3,3,6,1,7,927,0,153,0,0,0,0,1080,12,1082,41,362,7348,0,0,0,0,0,0
48,0,0,2200,2200,28,24,0,2,3,1,2,3,6,2,1,850,0,0,0,0,0,0,850,4,178,22,551,733,0,0,0,0,0,0
23,0,0,1500,1500,20,36,0,0,4,2,0,3,1,10,3,788,0,0,0,0,0,0,788,6,329,16,403,349,0,0,0,0,0,0
41,1,0,3000,3000,15,48,0,0,5,1,1,3,5,11,8,950,0,0,0,0,0,0,950,8,635,8,375,950,0,4,3600,2936,0,0
24,0,0,1100,1100,30,24,0,7,4,3,0,3,2,13,3,914,0,0,0,0,0,0,914,5,450,14,402,141,0,1,600,236,0,0
27,1,0,500,500,28,18,0,8,4,3,0,3,1,1,3,1000,0,0,0,0,0,0,1000,8,525,19,441,196,0,3,1750,1383,0,0
49,0,0,2000,2000,30,24,0,2,4,2,0,3,6,8,8,636,0,0,0,0,0,0,636,7,317,23,207,710,0,0,0,0,0,0
23,0,0,2000,2000,30,36,0,2,2,2,1,3,3,1,3,695,0,0,0,0,0,0,695,4,446,26,164,955,0,0,0,0,0,0
42,1,0,600,600,28,12,0,7,5,2,2,3,3,15,5,913,0,115,0,0,0,0,1028,4,412,9,558,107,0,0,0,0,0,0
34,1,0,500,500,28,18,0,2,2,3,4,3,1,15,3,431,0,402,0,0,70,0,903,7,488,33,381,120,0,0,0,0,0,0
34,1,0,2000,2000,22,18,0,0,4,2,4,3,5,17,8,539,0,498,0,0,0,0,1037,11,570,36,401,382,0,0,0,0,0,0
45,1,0,1400,1400,28,18,0,0,4,4,2,3,6,1,5,1025,0,38,0,0,230,122,1415,13,969,32,579,335,0,0,0,0,0,0
22,0,2,3000,3000,20,36,0,7,4,4,1,3,3,12,3,2274,0,0,0,0,0,0,2274,11,1304,21,859,1036,0,0,0,0,0,0
29,1,0,5000,5000,28,36,0,0,4,2,2,3,1,1,3,920,0,95,0,0,0,250,1265,15,666,16,611,3011,0,0,0,0,0,0
22,1,0,800,800,28,9,0,6,4,2,2,0,0,9,3,0,0,134,0,259,0,0,393,2,42,25,251,98,0,0,0,0,0,0
57,0,0,6000,6000,28,60,0,2,4,1,0,3,6,3,7,867,0,0,0,0,0,0,867,8,243,21,583,6000,0,0,0,0,0,0
28,1,0,3300,3300,28,60,0,2,4,3,1,3,1,3,2,440,0,19,0,0,110,0,569,8,212,21,254,3300,0,0,0,0,0,0
31,1,0,3700,3700,17,60,0,6,4,1,3,3,6,7,7,0,0,115,0,377,0,0,492,2,92,33,308,3044,0,2,4500,4396,0,0
35,1,0,3000,3000,25,60,0,0,2,3,0,3,6,7,3,623,0,19,0,0,0,0,642,11,415,27,272,3000,0,1,639,902,0,0
25,1,0,3000,3000,30,24,0,2,5,2,1,2,3,17,2,0,0,0,0,652,0,0,652,6,445,54,237,1045,0,0,0,0,0,0
28,1,0,3000,3000,28,48,0,7,5,2,2,0,4,17,8,0,0,38,0,1795,0,0,1833,18,1261,17,576,92,0,0,0,0,0,0
33,1,0,2000,2000,23,48,0,0,2,2,1,3,1,14,1,329,0,19,0,0,0,0,348,8,461,18,269,905,0,0,0,0,0,0
37,0,0,6300,6300,28,48,0,3,4,1,0,3,3,6,3,2300,0,0,0,0,0,0,2300,6,1028,28,1052,0,0,0,0,0,0,0
50,0,0,8800,8800,30,60,0,2,3,1,0,3,1,3,1,688,0,0,0,0,0,200,888,5,355,33,420,8800,0,1,5000,222,0,0
39,1,0,3000,3000,28,60,0,0,2,2,0,3,6,19,2,1008,0,0,0,0,0,0,1008,10,652,24,722,2307,0,1,100,113,0,0
26,0,0,500,500,28,24,0,2,3,3,1,3,6,19,8,993,0,0,0,0,0,0,993,8,414,24,552,159,0,0,0,0,0,0
31,0,0,10000,10000,25,60,0,0,5,1,2,3,6,1,8,1366,0,0,0,0,0,0,1366,12,1170,28,432,7242,1,0,0,0,0,0
26,1,0,1500,1500,28,36,0,0,4,2,1,3,4,7,2,514,0,38,0,0,0,0,552,4,161,18,329,542,0,0,0,0,0,0
39,0,0,8400,8400,21,60,0,7,4,1,3,3,6,15,7,1054,0,0,0,0,0,0,1054,9,606,26,446,389,0,3,1524,1768,0,0
21,1,0,3000,3000,30,48,0,0,4,2,0,3,1,3,2,450,0,0,0,0,0,0,450,13,614,52,164,2830,0,0,0,0,0,0
22,0,0,2500,2500,15,24,0,0,3,3,0,3,2,8,1,600,0,0,0,0,0,0,600,6,134,22,424,1750,0,0,0,0,0,0
35,1,0,2000,2000,30,48,0,0,5,1,3,3,3,17,1,640,0,153,0,0,159,0,952,14,701,13,490,1409,0,0,0,0,0,0
50,0,0,4700,4700,22,60,0,0,4,3,0,0,6,3,1,500,0,0,0,0,0,0,500,13,621,26,293,3891,0,0,0,0,0,0
40,0,0,4000,4000,33,60,0,0,4,2,2,3,6,15,4,1000,0,0,0,0,0,0,1000,12,840,29,274,684,0,0,0,0,0,0
41,1,0,1800,1800,30,24,0,0,4,2,2,3,1,7,1,450,0,38,0,0,0,0,488,7,347,40,135,619,0,0,0,0,0,0
25,1,0,600,600,33,24,0,0,4,3,0,3,6,7,2,300,0,0,0,0,0,280,580,4,84,6,492,229,0,0,0,0,0,0
27,0,0,10000,10000,28,60,0,0,4,2,1,3,1,6,2,2456,209,0,45,0,0,0,2710,6,298,11,2101,8719,0,0,0,0,0,0
28,0,0,1000,1000,28,18,0,5,2,3,2,3,6,8,4,800,0,0,0,0,0,0,800,3,391,19,340,237,0,1,900,270,0,0
36,1,0,6000,6000,28,60,0,0,5,1,2,3,2,11,3,1100,0,61,0,0,0,0,1161,8,806,17,526,5218,0,0,0,0,0,0
32,0,0,10000,10000,28,60,0,0,4,2,1,3,6,11,8,1200,0,0,0,0,0,0,1200,12,1165,40,336,8576,0,4,3613,1184,0,0
35,1,0,1700,1700,28,24,0,0,4,2,1,3,1,18,1,604,0,19,0,0,193,0,816,18,590,33,331,542,0,0,0,0,0,0
35,0,0,2000,2000,30,48,0,2,4,2,1,3,3,8,1,920,0,0,0,0,0,0,920,5,465,30,383,1944,0,0,0,0,0,0
37,0,0,1500,1500,28,12,0,6,3,1,3,3,6,8,7,1127,0,0,0,0,0,0,1127,7,236,23,746,245,0,0,0,0,0,0
31,0,0,6000,6000,19,48,0,3,5,2,0,5,6,11,1,3000,0,0,0,0,0,0,3000,10,1936,30,885,2617,0,0,0,0,0,0
24,1,0,3000,3000,33,60,0,0,2,2,4,3,1,17,1,400,0,345,0,0,140,0,885,5,233,12,732,3000,0,0,0,0,0,0
24,0,2,1500,1500,20,48,0,6,3,2,1,3,1,8,8,1880,0,0,0,0,0,0,1880,6,759,15,1075,1314,0,0,0,0,0,0
29,1,0,3000,3000,28,36,0,6,4,2,3,3,6,3,1,760,0,76,0,0,0,0,836,9,265,29,477,1474,0,0,0,0,0,0
39,1,0,3000,3000,28,60,0,0,4,4,1,3,1,3,3,400,161,19,0,0,200,0,780,6,464,11,313,1968,0,0,0,0,0,0
44,1,1,5000,5000,30,36,0,0,5,4,0,3,1,11,3,1600,0,0,0,0,0,0,1600,9,520,13,868,2739,1,0,0,0,0,0
33,0,2,4500,4500,30,48,0,0,5,1,0,3,3,8,3,1159,0,0,0,0,0,0,1159,8,976,22,419,3306,1,0,0,0,0,0
35,1,0,3000,3000,33,60,0,6,4,1,1,3,6,7,2,482,0,19,0,0,0,0,501,9,289,47,109,1262,0,0,0,0,0,0
30,1,0,5600,5600,19,60,0,7,3,2,2,3,6,8,3,622,0,38,0,0,253,0,913,3,236,30,532,0,0,1,3600,365,0,0
23,1,0,2000,2000,30,60,0,0,4,2,0,3,1,7,3,416,0,0,0,0,0,0,416,4,194,15,157,2000,0,0,0,0,0,0
48,0,0,2200,2200,30,36,0,2,4,1,0,3,6,6,1,594,0,0,0,0,0,0,594,12,589,33,228,817,0,0,0,0,0,0
46,1,0,3000,3000,33,60,0,0,5,1,0,3,6,16,7,435,0,0,0,0,0,0,435,10,617,48,122,1577,0,0,0,0,0,0
31,1,0,5000,5000,28,36,0,7,4,4,2,3,4,1,8,1630,0,38,0,0,0,0,1668,8,1198,53,287,2449,0,0,0,0,0,0
32,0,1,2000,2000,20,24,0,6,5,3,0,3,4,9,3,1117,0,0,0,0,0,0,1117,4,532,9,483,449,0,0,0,0,0,0
40,1,0,1000,1000,28,60,0,7,5,2,3,3,4,15,3,0,0,115,0,790,0,0,905,9,361,19,513,1000,0,1,700,194,0,0
26,0,0,1100,1100,28,18,0,0,4,1,0,3,1,7,2,1120,0,0,0,0,0,0,1120,7,231,11,813,260,0,0,0,0,0,0
32,0,0,7500,7500,28,60,0,2,5,2,0,3,2,1,3,1700,0,0,0,0,0,50,1750,5,1242,16,274,7500,1,0,0,0,0,0
50,0,1,6000,6000,28,48,0,0,5,4,1,3,3,8,1,2300,0,0,0,0,0,0,2300,14,1707,20,868,4175,0,0,0,0,0,0
29,0,0,1700,1700,28,24,0,7,2,2,1,3,4,7,8,659,0,0,0,0,0,0,659,4,208,14,508,547,0,0,0,0,0,0
25,0,0,4300,4300,20,48,0,0,4,2,1,3,1,8,4,880,0,0,0,0,0,0,880,10,983,14,493,1034,0,1,2550,1414,0,0
51,1,0,600,600,30,24,0,0,3,1,0,3,3,3,1,406,0,0,0,0,0,0,406,8,232,39,163,86,0,0,0,0,0,0
41,1,2,10000,10000,28,60,0,0,4,3,0,3,1,17,3,1981,0,0,0,0,0,0,1981,18,2453,27,878,6957,0,0,0,0,0,0
30,1,1,2500,2500,22,48,0,7,5,3,0,3,4,7,2,1141,0,0,0,0,0,0,1141,7,670,33,392,1158,0,0,0,0,0,0
30,1,0,500,500,28,24,0,6,4,3,1,3,3,10,3,652,0,19,0,0,0,0,671,8,394,12,250,158,0,1,320,282,0,0
22,0,0,3000,3000,28,60,0,0,4,3,0,3,2,15,2,550,0,0,0,0,0,0,550,7,525,47,251,3000,0,0,0,0,0,0
51,0,0,6000,6000,28,60,0,0,4,2,3,0,2,8,8,1060,161,0,0,0,0,0,1221,11,494,31,675,6000,1,1,2000,152,0,0
41,1,2,10000,10000,28,60,0,0,3,2,1,3,1,1,8,1764,0,0,0,0,0,0,1764,15,1111,30,682,8685,1,0,0,0,0,0
41,0,0,1200,1200,20,24,0,8,4,1,1,3,1,3,8,706,0,0,0,0,0,170,876,5,301,14,514,275,0,0,0,0,0,0
33,0,1,10000,10000,25,48,0,0,4,3,0,3,4,8,2,993,0,0,0,0,0,154,1147,9,1227,37,410,5929,1,0,0,0,0,0
21,0,0,500,500,28,6,0,7,2,3,0,3,1,6,2,1531,0,0,0,0,0,0,1531,2,105,5,1336,217,0,1,600,607,0,0
39,0,2,4100,4100,20,36,0,0,4,2,0,3,4,17,4,2023,0,0,0,0,0,400,2423,14,1620,29,720,1452,0,1,6000,536,0,0
34,0,0,9800,9800,30,48,0,0,5,2,1,5,1,10,6,1200,0,0,0,0,0,0,1200,8,1415,29,547,103,0,0,0,0,0,0
65,1,0,1100,1100,30,12,0,2,4,1,0,6,0,1,1,0,348,0,0,0,0,0,348,4,86,35,155,214,0,0,0,0,0,0
31,0,0,3000,3000,30,60,0,7,2,2,2,3,6,1,1,595,0,0,0,0,0,0,595,8,358,24,220,3000,0,0,0,0,0,0
56,0,0,4000,4000,28,36,0,0,4,5,0,3,1,3,9,669,170,0,0,0,0,0,839,14,770,42,398,2048,0,0,0,0,0,0
31,1,0,3000,3000,28,60,0,6,2,1,3,3,3,3,3,511,0,134,0,0,0,0,645,3,220,37,332,2516,0,0,0,0,0,0
34,0,1,2000,2000,24,24,0,7,5,2,0,3,6,4,4,1270,0,0,0,0,0,0,1270,9,802,49,362,572,0,0,0,0,0,0
22,0,0,1600,1600,26,12,0,0,2,2,0,3,2,3,7,700,214,0,53,0,0,0,967,10,670,46,435,268,0,0,0,0,0,0
25,0,0,2000,2000,28,36,0,6,3,3,0,3,1,6,2,1078,0,0,0,0,0,0,1078,5,278,23,757,1633,0,0,0,0,0,0
41,1,0,2000,2000,28,48,0,2,4,3,1,0,4,3,1,0,140,0,0,352,0,0,492,7,218,14,285,1853,0,0,0,0,0,0
51,0,2,7500,7500,25,60,0,0,4,3,0,3,2,1,4,1600,0,0,0,0,0,0,1600,6,757,17,920,7129,1,0,0,0,0,0
37,1,0,1000,1000,28,24,0,0,2,1,1,3,4,3,3,590,0,0,0,0,0,0,590,7,382,18,313,319,0,0,0,0,0,0
24,0,0,2000,2000,20,36,0,6,2,2,2,3,2,4,3,577,0,0,0,0,0,0,577,6,173,25,330,482,0,0,0,0,0,0
25,0,0,5000,5000,30,60,0,0,4,2,2,3,1,3,2,670,0,0,0,0,0,0,670,6,380,24,430,4442,0,1,1200,1446,0,0
51,1,0,5000,5000,30,36,0,0,4,4,0,3,3,1,1,530,140,0,0,0,0,0,670,11,490,36,307,74,0,0,0,0,0,0
29,0,0,3000,3000,12,36,0,0,5,2,0,3,6,15,4,750,0,0,0,0,0,0,750,7,350,34,300,502,0,6,9300,7454,0,0
34,0,0,800,800,28,48,0,5,4,2,2,3,5,10,1,1205,0,0,0,0,0,128,1333,5,414,33,891,556,0,4,8700,4283,0,0
42,1,0,2000,2000,26,48,0,2,4,1,0,3,6,17,1,507,0,0,0,0,0,0,507,8,321,28,253,1276,0,0,0,0,0,0
32,1,0,4050,4050,26,60,0,0,2,2,3,3,2,1,7,300,0,153,0,0,0,0,453,14,612,26,269,2650,1,1,400,456,0,0
33,0,0,4700,4700,33,60,0,0,2,1,2,3,2,3,8,610,0,0,0,0,0,0,610,7,280,30,268,4700,0,0,0,0,0,0
47,1,2,6000,6000,30,60,0,0,4,1,0,6,6,1,1,0,1051,0,154,0,0,0,1205,14,1863,36,390,6000,0,0,0,0,0,0
57,1,2,6200,6200,30,60,0,0,5,1,0,2,6,16,8,1490,725,0,0,0,0,0,2215,16,1815,43,562,5233,1,0,0,0,0,0
41,1,0,3300,3300,30,48,0,2,4,2,1,3,6,15,1,504,0,57,0,0,0,0,561,4,130,37,332,1585,0,0,0,0,0,0
23,1,0,3000,3000,20,36,0,7,4,3,0,3,2,3,2,815,0,0,0,0,0,0,815,4,256,31,448,1038,0,0,0,0,0,0
27,0,0,1500,1500,28,60,0,7,2,1,3,3,2,3,7,625,0,0,0,0,0,0,625,5,403,20,252,217,0,0,0,0,0,0
23,0,0,2800,2800,33,60,0,0,4,3,0,3,1,8,6,525,0,0,0,0,0,0,525,8,467,49,85,0,0,0,0,0,0,0
32,0,0,3000,3000,28,60,0,6,2,2,4,3,3,3,8,960,0,0,0,0,0,0,960,9,434,31,433,269,0,0,0,0,0,0
38,0,0,9400,9400,18,36,0,0,5,1,2,3,1,10,8,1812,0,0,0,0,0,0,1812,18,2280,28,608,973,0,0,0,0,0,0
46,0,2,3000,3000,20,36,0,0,3,2,0,3,6,6,1,2018,0,0,0,0,0,0,2018,9,1191,15,1518,1020,0,0,0,0,0,0
30,1,0,1000,1000,28,18,0,0,4,2,1,3,6,3,8,600,0,19,0,0,0,0,619,6,257,11,318,82,0,0,0,0,0,0
44,1,0,2500,2500,30,36,0,0,4,2,1,3,4,3,7,388,0,38,0,0,0,0,426,7,249,45,231,1322,0,0,0,0,0,0
44,0,0,500,500,28,3,0,2,4,3,0,3,1,3,3,859,0,0,0,0,0,0,859,4,372,50,312,32,0,2,5800,599,0,0
23,1,0,2200,2200,30,48,0,0,4,2,1,3,1,3,2,435,0,57,0,0,0,0,492,10,664,36,193,2098,0,0,0,0,0,0
56,0,1,6000,6000,25,48,0,2,5,1,0,3,6,7,9,1302,0,0,0,0,0,150,1452,7,895,20,358,3640,1,0,0,0,0,0
47,0,2,10000,10000,25,36,0,0,4,1,0,3,3,10,3,1671,0,0,0,0,0,500,2171,17,2086,25,916,3390,0,0,0,0,0,0
34,1,2,10000,10000,28,60,0,0,3,3,1,3,4,1,3,1665,536,153,0,0,0,0,2354,15,2156,36,578,10000,1,0,0,0,0,0
33,1,0,2000,2000,30,36,0,0,4,2,0,0,6,1,3,450,0,0,0,0,0,0,450,9,566,45,188,1100,0,0,0,0,0,0
41,1,0,500,500,28,6,0,7,4,1,7,0,0,1,7,0,214,590,181,249,0,0,1234,11,356,21,788,51,0,1,200,207,0,0
53,1,0,1000,1000,33,60,0,0,4,4,1,3,6,15,2,423,0,0,0,0,0,0,423,5,306,57,83,1000,0,1,2000,218,0,0
49,0,0,5000,5000,28,60,0,7,4,1,0,4,6,19,1,1210,0,0,0,0,0,800,2010,8,494,20,1360,5000,0,0,0,0,0,0
31,0,0,2800,2800,28,36,0,0,4,3,0,3,1,3,2,1050,0,0,0,0,0,0,1050,6,637,21,597,1427,0,0,0,0,0,0
26,1,0,2000,2000,30,48,0,7,3,2,1,3,2,7,3,500,0,0,0,0,0,0,500,8,224,11,280,1500,0,0,0,0,0,0
43,1,0,9700,9700,35,60,0,0,5,1,0,3,6,7,1,1109,0,0,0,0,0,0,1109,9,738,41,320,3444,0,0,0,0,0,0
27,0,0,1000,1000,28,24,0,7,2,3,0,3,2,3,3,745,0,0,0,0,0,0,745,6,382,24,308,337,0,0,0,0,0,0
39,0,0,5000,5000,21,48,0,6,4,2,1,3,3,1,3,1051,0,19,0,0,0,0,1070,5,484,38,431,2506,0,1,5000,621,0,0
40,1,0,1500,1500,20,24,0,2,4,2,0,3,6,15,1,899,0,0,0,0,0,0,899,8,431,34,392,353,0,0,0,0,0,0
45,1,0,4000,4000,20,36,0,0,5,2,2,3,6,1,7,750,0,0,38,0,0,0,788,16,635,22,583,1393,0,0,0,0,0,0
39,0,0,2000,2000,28,60,0,2,4,2,2,3,1,1,7,849,0,0,0,0,0,0,849,6,163,13,624,2000,0,0,0,0,0,0
42,0,0,3400,3400,24,48,0,0,2,1,2,3,1,19,4,597,0,38,0,0,0,0,635,7,345,25,423,1325,0,0,0,0,0,0
22,0,0,3000,3000,33,60,0,0,4,2,0,3,1,1,3,540,0,0,0,0,0,0,540,6,758,20,68,2893,0,0,0,0,0,0
42,1,0,2000,2000,28,24,0,7,4,2,4,3,1,1,1,446,0,287,0,0,0,0,733,4,108,21,515,674,0,1,150,166,0,0
34,0,0,1500,1500,20,36,0,0,4,3,0,3,2,10,2,1256,0,0,0,0,0,0,1256,3,301,8,944,525,0,0,0,0,0,0
40,0,0,5000,5000,20,48,0,6,3,1,2,3,3,6,3,1300,188,0,0,0,0,0,1488,5,544,10,956,2303,0,0,0,0,0,0
42,1,0,3000,3000,28,48,0,7,5,1,1,3,6,17,8,1090,0,19,0,0,0,0,1109,9,578,18,426,2041,0,1,3200,3473,0,0
25,0,1,5200,5200,25,48,0,6,4,3,0,3,5,15,3,1270,0,0,0,0,0,0,1270,6,475,45,623,11,0,0,0,0,0,0
58,1,0,7000,7000,25,60,0,0,2,5,0,3,6,8,2,461,194,0,75,0,0,0,730,20,1009,52,346,3,0,0,0,0,0,0
43,0,1,10000,10000,25,48,0,0,4,1,2,3,6,5,0,2950,0,0,0,0,0,0,2950,8,1491,11,1663,5992,1,0,0,0,0,0
42,0,0,3000,3000,28,36,0,2,5,1,3,3,4,7,7,1550,0,0,0,0,0,256,1806,8,862,26,820,1420,0,1,3000,204,0,0
42,0,0,2000,2000,33,24,0,2,4,2,2,3,5,19,3,530,0,0,0,0,0,0,530,1,30,20,390,789,0,0,0,0,0,0
44,0,0,2000,2000,28,24,0,6,5,1,3,3,6,15,1,573,0,0,0,0,0,49,622,6,247,29,285,674,0,0,0,0,0,0
39,1,2,6000,6000,30,60,0,0,3,3,0,6,3,1,3,0,891,0,283,0,0,0,1174,13,1242,25,289,6000,1,0,0,0,0,0
38,0,0,4000,4000,28,60,0,0,4,1,2,3,6,15,1,754,0,0,0,0,0,0,754,6,379,39,272,3871,0,0,0,0,0,0
24,1,0,2100,2100,20,24,0,7,4,2,0,3,3,7,2,511,0,0,0,0,0,0,511,7,187,34,265,495,0,0,0,0,0,0
54,0,0,2000,2000,28,24,0,2,4,1,0,3,1,6,7,919,0,0,0,0,0,0,919,1,112,24,697,670,0,0,0,0,0,0
21,0,0,1200,1200,28,18,0,2,4,2,0,3,2,1,2,674,0,0,0,0,0,0,674,6,271,43,321,946,0,0,0,0,0,0
23,0,0,1400,1400,33,24,0,7,2,2,1,3,2,3,3,541,0,0,0,0,0,0,541,9,415,37,128,563,0,0,0,0,0,0
41,1,0,7000,7000,19,48,0,0,4,4,0,3,6,15,1,700,0,0,0,0,0,0,700,11,317,33,424,4544,0,0,0,0,0,0
40,0,0,3200,3200,15,36,0,0,3,1,0,0,6,1,1,980,0,0,0,0,0,0,980,8,363,20,702,818,0,0,0,0,0,0
39,1,0,5400,5400,28,48,0,0,5,3,0,3,6,17,3,1200,0,0,0,0,0,0,1200,14,1262,28,613,3741,0,0,0,0,0,0
23,0,0,3000,3000,33,60,0,0,4,3,0,3,1,7,3,500,0,0,0,0,0,200,700,7,502,31,95,2660,0,0,0,0,0,0
44,0,1,10000,10000,30,48,0,0,4,1,3,3,4,9,8,1700,0,0,0,0,0,250,1950,11,1228,27,662,7455,1,0,0,0,0,0
30,0,0,1800,1800,18,12,0,7,4,1,1,3,4,7,8,1326,0,0,0,0,0,0,1326,5,704,20,457,203,0,0,0,0,0,0
24,1,2,1500,1500,20,12,0,2,3,2,1,3,3,12,3,1406,0,153,373,0,0,0,1932,5,1247,18,546,167,0,1,2000,189,0,0
56,1,0,7500,7500,28,60,0,0,5,1,0,3,6,16,1,817,0,0,0,0,0,0,817,11,442,28,436,1621,0,0,0,0,0,0
56,1,2,6000,5140,32,60,0,0,3,3,0,3,1,17,3,1526,0,0,0,0,0,0,1526,12,1649,26,393,4594,1,0,0,0,0,0
24,1,0,2500,2500,20,18,0,6,4,2,0,3,1,7,3,700,0,0,0,0,0,64,764,3,249,21,353,449,0,0,0,0,0,0
